Timestamp,Extraversion,Spontaneity,Study_Time,GPA
4/9/2025 8:28:33,Extrovert,Spontaneous,0,2.7
4/10/2025 11:41:57,Extrovert,Spontaneous,4,2.3
4/10/2025 11:46:31,Extrovert,Planner,1,4
4/10/2025 11:46:53,Introvert,Planner,2,0
4/10/2025 14:43:40,Introvert,Spontaneous,2,3.12
4/10/2025 14:46:06,Extrovert,Planner,5,3.5
4/10/2025 14:47:05,Introvert,Planner,1,3.7231
4/10/2025 14:50:44,Introvert,Spontaneous,1,2
4/10/2025 15:12:33,Introvert,Planner,2,3.63
4/10/2025 16:13:59,Extrovert,Spontaneous,2,3.74
4/10/2025 18:25:02,Introvert,Spontaneous,2,3.17
4/10/2025 18:33:00,Extrovert,Spontaneous,0,3.5
4/10/2025 18:36:54,Introvert,Spontaneous,0,3.2
4/10/2025 18:39:38,Introvert,Spontaneous,1,3.8
4/10/2025 18:41:13,Introvert,Spontaneous,3,3.6
4/10/2025 19:11:00,Extrovert,Spontaneous,1,3.4
4/10/2025 19:21:07,Introvert,Spontaneous,10,3
4/10/2025 19:21:33,Introvert,Planner,2,3.1
4/10/2025 19:52:14,Introvert,Planner,8,3.92
4/10/2025 21:18:03,Introvert,Spontaneous,0,2.64
4/10/2025 21:19:01,Extrovert,Planner,2,4
4/10/2025 21:19:24,Introvert,Spontaneous,0,3.64
4/10/2025 21:19:53,Extrovert,Spontaneous,0,2.32
4/10/2025 21:21:31,Introvert,Planner,3,1.86
4/10/2025 21:22:03,Extrovert,Spontaneous,0,3.65
4/10/2025 21:23:25,Introvert,Spontaneous,0.5,3.16
4/10/2025 21:23:40,Introvert,Planner,0,2.86
4/10/2025 21:29:56,Extrovert,Spontaneous,3,3