Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
1/16/2025,Thursday,5.10,Bus Fare,Travel,Debit,Need
1/17/2025,Friday,5.10,Bus Fare,Travel,Debit,Need
1/18/2025,Saturday,0.00,,,,
1/19/2025,Sunday,0.00,,,,
1/20/2025,Monday,5.10,Bus Fare,Travel,Debit,Need
1/21/2025,Tuesday,5.10,Bus Fare,Travel,Debit,Need
1/22/2025,Wednesday,5.10,Bus Fare,Travel,Debit,Need
1/23/2025,Thursday,5.10,Bus Fare,Travel,Debit,Need
1/24/2025,Friday,0.00,,,,
1/25/2025,Saturday,0.00,,,,
1/26/2025,Sunday,0.00,,,,